new,previous,datum,stratum,parameter,probability,point_difference,lower,upper,primary_classification
A_CN,A0_CN,138,stress,log10_Ar,0.5,-0.04516857196348112,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_Ar,0.9,-0.01113545570216301,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_Ar,0.95,-0.004027212203153718,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_EFAC,0.05,0.015942605782844232,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_EFAC,0.5,-0.04413954859498914,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_EFAC,0.9,-0.08196324745525663,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_EFAC,0.95,-0.08921856722562516,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,u,0.05,0.0035936197015658533,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,u,0.5,0.013502374479225199,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,u,0.9,0.004619648173461943,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,u,0.95,0.0033604824194281013,-1.0,1.0,inconclusive
A_CN,A0_CN,142,representative,log10_Agw,0.05,-0.003490376881687497,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_Agw,0.5,-0.029138840847207054,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_Agw,0.9,-0.04333090498118286,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_Agw,0.95,-0.04703844317124661,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,gamma_gw,0.05,-0.0020763533736854467,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,gamma_gw,0.5,-0.018320517408190462,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,gamma_gw,0.9,-0.015789727383067276,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,gamma_gw,0.95,-0.009238015198218874,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_Ar,0.05,-0.006017746404217844,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_Ar,0.5,-0.06714432793306191,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_Ar,0.9,-0.06638398612998941,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_Ar,0.95,-0.06585961066834056,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_EFAC,0.05,0.016608622317853206,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_EFAC,0.5,-0.02329875474951676,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_EFAC,0.9,-0.05245480167133859,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,142,representative,log10_EFAC,0.95,-0.060545633939913746,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,u,0.05,0.042235241610895174,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,u,0.5,0.056629521236753355,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,u,0.9,0.011823533030843492,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,u,0.95,0.005576618844200465,-1.0,1.0,inconclusive
A_CN,A0_CN,157,representative,log10_Agw,0.05,0.13058869809711865,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_Agw,0.5,0.07860068742742321,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_Agw,0.9,0.023212097189859282,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_Agw,0.95,0.015235766376602067,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,gamma_gw,0.05,-0.02103607438172421,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,gamma_gw,0.5,-0.20690785819431884,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,gamma_gw,0.9,-0.36985408539048853,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,gamma_gw,0.95,-0.3418515966199862,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_Ar,0.05,0.003926045750832108,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_Ar,0.5,0.03515652382625756,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_Ar,0.9,0.050253429617113876,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_Ar,0.95,0.04859484750658605,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_EFAC,0.05,0.009150613853551579,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_EFAC,0.5,-0.03761397882072104,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_EFAC,0.9,-0.06381306270265769,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,157,representative,log10_EFAC,0.95,-0.07009863120747917,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,u,0.05,0.0007892879602922967,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,u,0.5,0.006344691221653598,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,u,0.9,0.0034804787871201004,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,u,0.95,0.002125094237230396,-1.0,1.0,inconclusive
A_CN,A0_CN,184,stress,log10_Agw,0.05,-0.008477674653066692,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_Agw,0.5,-0.05445278920092364,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_Agw,0.9,-0.06117934681275333,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_Agw,0.95,-0.0525486941021861,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,gamma_gw,0.05,-0.005872799417733297,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,gamma_gw,0.5,-0.05001510766337225,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,gamma_gw,0.9,-0.048798343654891774,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,gamma_gw,0.95,-0.032547398851638154,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_Ar,0.05,0.001215075293099343,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_Ar,0.5,0.009810547809448067,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_Ar,0.9,0.007230556880026384,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_Ar,0.95,0.002792806309777407,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_EFAC,0.05,0.07304997685669101,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_EFAC,0.5,0.03798109973730185,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_EFAC,0.9,0.010725914983488016,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,184,stress,log10_EFAC,0.95,0.003584505475353106,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,u,0.05,0.013421888156396278,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,u,0.5,0.056979236402151134,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,u,0.9,0.018157002440256753,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,u,0.95,0.009466550583188016,-1.0,1.0,inconclusive
A_CN,A0_CN,189,representative,log10_Agw,0.05,-0.22032754133378768,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_Agw,0.5,-0.03532191427142539,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_Agw,0.9,-0.004919101556678629,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_Agw,0.95,-0.004887821347544508,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,gamma_gw,0.05,-0.02654870704314824,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,gamma_gw,0.5,-0.13382923362679444,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,gamma_gw,0.9,-0.08016945204876103,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,gamma_gw,0.95,-0.04735722997214897,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_Ar,0.05,0.018809913656112953,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_Ar,0.5,0.16863391039103098,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_Ar,0.9,0.08115451992577816,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_Ar,0.95,0.05725181337383323,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_EFAC,0.05,0.009871490398795207,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_EFAC,0.5,0.00857095410211467,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_EFAC,0.9,-0.014052990990647746,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,189,representative,log10_EFAC,0.95,-0.0214275501288263,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,u,0.05,0.004908640177490209,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,u,0.5,0.026673532592003446,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,u,0.9,0.00927302639041927,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,u,0.95,0.0047135502565589515,-1.0,1.0,inconclusive
A_CN,A0_CN,191,representative,log10_Agw,0.05,-0.004898386454069183,-1.0,1.0,descriptive_secondary
