new,previous,datum,stratum,parameter,point_width_difference,lower,upper
B_CN,A_CN,355,representative,gamma_gw,0.3282212436265869,-2.0,2.0
B_CN,A_CN,355,representative,log10_Ar,0.1271580561614566,-2.0,2.0
B_CN,A_CN,355,representative,log10_EFAC,0.09918756905494286,-2.0,2.0
B_CN,A_CN,359,stress,u,0.04406135732292715,-2.0,2.0
B_CN,A_CN,359,stress,log10_Agw,0.4528927876525407,-2.0,2.0
B_CN,A_CN,359,stress,gamma_gw,0.13914266222721594,-2.0,2.0
B_CN,A_CN,359,stress,log10_Ar,0.058452094504577334,-2.0,2.0
B_CN,A_CN,359,stress,log10_EFAC,0.18809545698723174,-2.0,2.0
B_CN,A_CN,380,representative,u,0.0013166428496949045,-2.0,2.0
B_CN,A_CN,380,representative,log10_Agw,0.008500855250405226,-2.0,2.0
B_CN,A_CN,380,representative,gamma_gw,0.014946644434151835,-2.0,2.0
B_CN,A_CN,380,representative,log10_Ar,0.10136568237617649,-2.0,2.0
B_CN,A_CN,380,representative,log10_EFAC,0.1546736834697114,-2.0,2.0
B_CN,A_CN,409,representative,u,0.0020234855540270935,-2.0,2.0
B_CN,A_CN,409,representative,log10_Agw,0.13635131003911372,-2.0,2.0
B_CN,A_CN,409,representative,gamma_gw,0.018028751484141514,-2.0,2.0
B_CN,A_CN,409,representative,log10_Ar,0.21737781947077717,-2.0,2.0
B_CN,A_CN,409,representative,log10_EFAC,0.0864566173401623,-2.0,2.0
B_CN,A_CN,424,stress,u,0.019778130072178213,-2.0,2.0
B_CN,A_CN,424,stress,log10_Agw,0.18235493973829353,-2.0,2.0
B_CN,A_CN,424,stress,gamma_gw,0.3803240978392648,-2.0,2.0
B_CN,A_CN,424,stress,log10_Ar,0.03903364433835943,-2.0,2.0
B_CN,A_CN,424,stress,log10_EFAC,0.37064247062016653,-2.0,2.0
B_CN,A_CN,446,representative,u,-0.004629508884664513,-2.0,2.0
B_CN,A_CN,446,representative,log10_Agw,0.04723719418860395,-2.0,2.0
B_CN,A_CN,446,representative,gamma_gw,0.00014249540875688194,-2.0,2.0
B_CN,A_CN,446,representative,log10_Ar,0.24311386336142926,-2.0,2.0
B_CN,A_CN,446,representative,log10_EFAC,0.057257519321661454,-2.0,2.0
B_CN,A_CN,453,stress,u,-0.02727227028366086,-0.16363890126171,1.87836109873829
B_CN,A_CN,453,stress,log10_Agw,0.17046702789810775,-0.6853222626660415,1.3386777373339585
B_CN,A_CN,453,stress,gamma_gw,0.549028959206425,-0.1316878079192415,1.9163121920807584
B_CN,A_CN,453,stress,log10_Ar,0.039937307707247904,-0.2232533971781573,1.8167466028218429
