T_years,u,window,p,q,nuisance_vertices,KL_p_to_q_minimum,KL_p_to_q_maximum,KL_p_to_q_argmax_eta,mean_shift_metric_p_squared_minimum,mean_shift_metric_p_squared_maximum,mean_shift_metric_p_squared_argmax_eta,covariance_difference_metric_q_minimum,covariance_difference_metric_q_maximum,covariance_difference_metric_q_argmax_eta
9.0,0.5,0,B,C_beta,16,1.0434495577103988e-08,3.2225606731333802,8,1.6600078876144207e-08,2.379916208927109,8,9.239301497548427e-05,2.508876509712466,8
9.0,0.5,0,B,C_full,16,1.0434832598710915e-08,3.222775809848396,8,1.6600026443475496e-08,2.380032902400806,8,9.240087762669694e-05,2.509259052759211,8
9.0,0.5,0,C_beta,C_full,16,2.3574059353039526e-15,1.9388570773678243e-06,8,3.1578907766111695e-15,2.7651422792114886e-06,8,5.5801811839700416e-08,0.001491780858354809,8
9.0,0.8,0,B,C_beta,16,1.7723544948329056e-08,8.753938584307782,8,2.824433508661936e-08,4.757274728818415,8,0.0001200102904693943,4.559195694620095,8
9.0,0.8,0,B,C_full,16,1.7722820430724467e-08,8.754924437765878,8,2.8241899446822188e-08,4.757833362008736,8,0.00012001851277066107,4.5620953438122145,8
9.0,0.8,0,C_beta,C_full,16,1.1781094522024816e-14,2.0858927523382083e-05,8,1.877297740808906e-14,3.166072116364007e-05,8,9.786942165724667e-08,0.004482690259527524,8
9.0,0.995,0,B,C_beta,16,2.0409510767162275e-08,13.25911129600414,8,3.2530697035323743e-08,6.110997407802355,8,0.00012873565371972066,5.939166443737647,8
9.0,0.995,0,B,C_full,16,2.0419756050569278e-08,13.22044432524374,8,3.2550859848344885e-08,6.1035013196019765,8,0.00012873817742106472,5.935535811244824,8
9.0,0.995,0,C_beta,C_full,16,1.847499330892156e-13,0.00025726554482541293,8,3.0051189209555444e-13,0.0004118461761317524,8,3.7145111846255997e-07,0.014390504329336636,8
9.0,0.0,1,B,C_beta,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
9.0,0.0,1,B,C_full,16,7.518551771640287e-15,1.6260435082864103e-06,8,9.16808526017154e-15,1.8084969992090777e-06,8,1.0834221973392097e-07,0.0016989157707528876,8
9.0,0.0,1,C_beta,C_full,16,7.518551771640287e-15,1.6260435082864103e-06,8,9.16808526017154e-15,1.8084969992090777e-06,8,1.0834221973392097e-07,0.0016989157707528876,8
9.0,0.2,1,B,C_beta,16,5.34355599721869e-10,0.11710519204358893,8,6.637145432422129e-10,0.11388280860709915,8,2.846024734713635e-05,0.47482416668188704,8
9.0,0.2,1,B,C_full,16,5.340302765921629e-10,0.11703527782334783,8,6.634525914108373e-10,0.1138246940026991,8,2.8446586618170843e-05,0.47465928436717425,8
9.0,0.2,1,C_beta,C_full,16,4.336763967177728e-15,1.1490499265771e-06,8,5.839900265937101e-15,1.586583835375603e-06,8,7.528117463486731e-08,0.0011927760918570072,8
9.0,0.5,1,B,C_beta,16,3.09232426843918e-09,1.1629750702639243,8,3.928639170568979e-09,0.860216585955926,8,6.717068377881101e-05,1.6342052968994356,8
9.0,0.5,1,B,C_full,16,3.0924048579826247e-09,1.1631466960654742,8,3.928460143419827e-09,0.8602690877988998,8,6.717574858432856e-05,1.6344901160887615,8
9.0,0.5,1,C_beta,C_full,16,1.435244403482737e-15,8.094234230314505e-07,8,1.6233241894011922e-15,1.0039621015152865e-06,8,4.994326031612414e-08,0.0011089751547520075,8
9.0,0.8,1,B,C_beta,16,5.175713355251867e-09,3.233744123236347,8,6.6703274907099284e-09,1.867037833307445,8,8.580165825007749e-05,2.961270915110533,8
9.0,0.8,1,B,C_full,16,5.175512520546777e-09,3.2350677042308127,8,6.669069970029052e-09,1.8672707278844949,8,8.58116332820051e-05,2.963276841418104,8
9.0,0.8,1,C_beta,C_full,16,6.184196894452303e-15,8.314104015823685e-06,8,8.735181571152141e-15,1.1004366012890393e-05,8,8.524332600584844e-08,0.0033532378832368238,8
9.0,0.995,1,B,C_beta,16,5.914081424225268e-09,4.977797787392486,8,7.670661804238946e-09,2.495596521908175,8,9.118473578383491e-05,3.86622139788618,8
9.0,0.995,1,B,C_full,16,5.91756136593067e-09,4.965899653129753,8,7.676497695586765e-09,2.4918885468643595,8,9.119705588164575e-05,3.8640986508240815,8
9.0,0.995,1,C_beta,C_full,16,8.922089209058964e-14,0.00010162895047269419,8,1.2979285258161552e-13,0.00014384639994334845,8,3.119260509844985e-07,0.010923153466195053,8
15.0,0.0,0,B,C_beta,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
15.0,0.0,0,B,C_full,16,1.483890663545095e-13,1.6564230672375674e-05,8,2.4179629411670437e-13,2.5324017065535315e-05,8,3.3160768447161625e-07,0.00394923562573531,8
15.0,0.0,0,C_beta,C_full,16,1.483890663545095e-13,1.6564230672375674e-05,8,2.4179629411670437e-13,2.5324017065535315e-05,8,3.3160768447161625e-07,0.00394923562573531,8
15.0,0.2,0,B,C_beta,16,2.9021448444323668e-09,0.4468505393434023,8,3.938843971223201e-09,0.4334144954927583,8,6.108011139978418e-05,0.8880670622999994,8
15.0,0.2,0,B,C_full,16,2.9136245772451596e-09,0.4493944956664884,8,3.952175236285837e-09,0.4354433958360121,8,6.12375356329451e-05,0.8910358327712771,8
15.0,0.2,0,C_beta,C_full,16,1.0662139516710016e-13,2.0528177737779478e-05,8,1.6370494574007223e-13,3.002765825983266e-05,8,3.1476285689523916e-07,0.004684657358041561,8
15.0,0.5,0,B,C_beta,16,1.7638445094624352e-08,4.611879404335457,8,2.4264263457655726e-08,2.8439038643265344,8,0.00014840298885133055,3.2955339164833526,8
15.0,0.5,0,B,C_full,16,1.7634498538218315e-08,4.610373489736971,8,2.4263632118295298e-08,2.844003385069674,8,0.0001483540465160926,3.293652632052241,8
15.0,0.5,0,C_beta,C_full,16,2.434738564282406e-14,7.4294555414453176e-06,8,2.951075578716275e-14,8.630675838719094e-06,8,1.958775876874501e-07,0.0035273256672873595,8
15.0,0.8,0,B,C_beta,16,3.0821839859286346e-08,13.387893580188527,8,4.27258956079006e-08,5.596513534071189,8,0.0001945023317641033,6.412143672572404,8
15.0,0.8,0,B,C_full,16,3.082879849599181e-08,13.375026160580493,8,4.273667580469525e-08,5.593921622296223,8,0.00019451845205549202,6.409188663501766,8
15.0,0.8,0,C_beta,C_full,16,4.9122813429995295e-14,1.8896326127164692e-05,8,6.489581234976935e-14,2.3711379555761377e-05,8,2.5826270350329617e-07,0.005308025374196811,8
15.0,0.995,0,B,C_beta,16,3.607437919487627e-08,21.17913788258166,8,5.015491867654414e-08,7.145746111384097,8,0.00020971871508366114,8.73702698008813,8
15.0,0.995,0,B,C_full,16,3.607663036170733e-08,21.12768457681855,8,5.0162043777606044e-08,7.136101791153432,8,0.00020970620863459597,8.727245473039885,8
15.0,0.995,0,C_beta,C_full,16,2.8476479349093145e-13,0.00030562719970991044,8,1.584018032261209e-13,0.00020987846559052245,8,9.067830562691824e-07,0.028329644696490967,8
15.0,0.0,1,B,C_beta,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
15.0,0.0,1,B,C_full,16,4.7054367579178005e-14,8.451076434631957e-06,8,7.415759801395985e-14,1.1424703115460153e-05,8,1.997555270498813e-07,0.0033090074881744263,8
15.0,0.0,1,C_beta,C_full,16,4.7054367579178005e-14,8.451076434631957e-06,8,7.415759801395985e-14,1.1424703115460153e-05,8,1.997555270498813e-07,0.0033090074881744263,8
15.0,0.2,1,B,C_beta,16,7.049346644170134e-10,0.2215820289016051,8,8.555081053917705e-10,0.19173849818728905,8,3.254182041919107e-05,0.689655438859717,8
15.0,0.2,1,B,C_full,16,7.080650835634882e-10,0.22299594738060366,8,8.585861424570697e-10,0.19272207959068885,8,3.263414747040369e-05,0.6922477527583769,8
15.0,0.2,1,C_beta,C_full,16,3.5898540576144235e-14,1.1303919037531658e-05,8,5.264614334169604e-14,1.4144881834072715e-05,8,1.9570863422501247e-07,0.004109424930188224,8
15.0,0.5,1,B,C_beta,16,4.168732770773316e-09,2.264107289107681,8,5.212873240137107e-09,1.3513382449339773,8,7.679650340350687e-05,2.49085659299572,8
15.0,0.5,1,B,C_full,16,4.167680142054459e-09,2.2635934000946207,8,5.212687479283906e-09,1.3514607114093855,8,7.67733230013755e-05,2.4899766299734436,8
15.0,0.5,1,C_beta,C_full,16,7.289678486680062e-15,3.739952583640623e-06,8,8.271185375763533e-15,3.6740091468431466e-06,8,1.1232249520415254e-07,0.0027580646537605194,8
15.0,0.8,1,B,C_beta,16,7.12497513847734e-09,6.522726122643929,8,9.088879037255143e-09,2.7993959685633527,8,9.821299012409037e-05,4.739720699550159,8
15.0,0.8,1,B,C_full,16,7.126823418791214e-09,6.517203998687668,8,9.091633797321285e-09,2.7979985786748394,8,9.822291324134252e-05,4.737787666997524,8
15.0,0.8,1,C_beta,C_full,16,1.6424932963310492e-14,1.0594288241454465e-05,8,1.9970887495644374e-14,1.1297621302112735e-05,8,1.6049285276546473e-07,0.004448387070898695,8
15.0,0.995,1,B,C_beta,16,8.236712171470498e-09,10.2973700326715,8,1.0600833946808932e-08,3.666151526969766,8,0.00010448903959230344,6.3903368757785275,8
15.0,0.995,1,B,C_full,16,8.237388148943454e-09,10.265317823028017,8,1.0606303418906556e-08,3.6602069104014747,8,0.00010443978693828719,6.3761020381372955,8
15.0,0.995,1,C_beta,C_full,16,1.2987989786686762e-13,0.0002534604394560245,8,6.664088098494256e-14,0.00014273173002880303,8,6.214803297669733e-07,0.0269648222440777,8
