u,eta_index,quantity,actual_Frobenius,first_order_Frobenius,remainder_Frobenius,relative_remainder
0.002,9,C,0.00020500489476160517,0.00020513240168798554,1.3541914022825612e-07,0.00066056539960049
0.002,9,mean,3.1251394947891383e-05,3.127197071064527e-05,2.063106180163311e-08,0.0006601645090093856
0.002,9,covariance,2.159724593908275e-05,2.1613115946555787e-05,1.5904585193038513e-08,0.0007364172838471642
0.002,10,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,10,C,0.00020500489476121193,0.00020513240168798554,1.3541914063078468e-07,0.0006605654015652641
0.002,10,mean,3.1251394947580976e-05,3.127197071064527e-05,2.0631062088612002e-08,0.0006601645181988574
0.002,10,covariance,5.996339780747439e-06,6.000120616754721e-06,3.790707388038288e-09,0.0006321702116029487
0.002,11,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,11,C,0.00020500489476164109,0.00020513240168798554,1.354191401804966e-07,0.0006605653993674066
0.002,11,mean,3.1251394947270576e-05,3.127197071064527e-05,2.0631062375590904e-08,0.0006601645273883294
0.002,11,covariance,2.2733870439756166e-05,2.2750336057527015e-05,1.650267468651016e-08,0.0007259069558895208
0.002,12,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,12,C,0.0014062392727356848,0.0014070672771557824,8.732635024894756e-07,0.0006209921166478567
