contrast_index,new_model,old_model,group,u_bin,gamma_bin,parameter,quantity,probability,units,n,mean,median,std_between_datasets,empirical_p05,empirical_p25,empirical_p75,empirical_p95,minimum,maximum,both_parameter_PIT_functions_resolved,both_LOW_cut_CDF_precision,all_bin_datasets_retained
0,A_CN,A0_CN,u,0,-1,log10_EFAC,central90_width,,fraction_prior_width,243,-0.07615099354044556,-0.07153668502775312,0.034879914272649776,-0.13783672311839368,-0.08897701683519474,-0.0606106742851297,-0.022592067957762346,-0.22871648858406834,0.01847267137747388,236,243,True
0,A_CN,A0_CN,u,1,-1,u,quantile,0.05,fraction_prior_width,208,0.0030654458131170372,0.00126274555585109,0.023295014818991943,-0.01929792943070985,-0.003523221312605445,0.00508794741114214,0.03239504476053432,-0.06225025724680738,0.20656110021081414,202,208,True
0,A_CN,A0_CN,u,1,-1,u,quantile,0.5,fraction_prior_width,208,0.001307293707349554,0.003464511425281036,0.06419547513170576,-0.09856068353429907,-0.019967306816276828,0.03126622776478588,0.08239900181718766,-0.3215562191217072,0.19971397300049115,202,206,True
0,A_CN,A0_CN,u,1,-1,u,quantile,0.9,fraction_prior_width,208,-0.0008790861794696064,0.001120486647152974,0.045115427103435295,-0.04261631172400436,-0.00627279905588507,0.01247366831818994,0.04009877846592299,-0.30021052819979355,0.14034598417830657,202,208,True
0,A_CN,A0_CN,u,1,-1,u,quantile,0.95,fraction_prior_width,208,-0.0008136556955763041,0.000649476413992045,0.030255146437788427,-0.024660642830217305,-0.003457013421420796,0.006535501926335313,0.02297773324752141,-0.20831855190522286,0.10023789939690186,202,208,True
0,A_CN,A0_CN,u,1,-1,u,central90_width,,fraction_prior_width,208,-0.003879101508693341,0.00014540698863130253,0.030695357644481634,-0.030172232898360966,-0.002244959506541022,0.002645419504214347,0.019688605273349574,-0.20003780381895753,0.08386311295524396,202,208,True
0,A_CN,A0_CN,u,1,-1,log10_Agw,quantile,0.05,fraction_prior_width,208,-0.021625762422402495,-0.0015605063891353356,0.126327876280434,-0.32667603296011005,-0.02366616806398235,0.021192312173426132,0.12506848121594205,-0.5743209992686733,0.2706228295477002,202,206,True
0,A_CN,A0_CN,u,1,-1,log10_Agw,quantile,0.5,fraction_prior_width,208,0.005576339982695713,-0.0058666124742453515,0.09743207962676384,-0.13546856579196576,-0.038382369090747166,0.03960976018418583,0.20195581048789898,-0.28416540654481054,0.38973569496628463,202,207,True
0,A_CN,A0_CN,u,1,-1,log10_Agw,quantile,0.9,fraction_prior_width,208,0.005224754948935457,-0.003313300986825529,0.076038873947548,-0.09697977325849268,-0.037284064398604905,0.0368354807226679,0.16352251972191936,-0.1944476129818451,0.30812997960787925,202,208,True
0,A_CN,A0_CN,u,1,-1,log10_Agw,quantile,0.95,fraction_prior_width,208,0.003630847103165249,-0.0022923266708546886,0.070336513656975,-0.0899820528876908,-0.03588825965953063,0.02957833319846688,0.1517645326805979,-0.1860079054655438,0.27361439900728113,202,208,True
0,A_CN,A0_CN,u,1,-1,log10_Agw,central90_width,,fraction_prior_width,208,0.025256609525567745,-0.004805889562336824,0.12150908655113055,-0.10092221375180038,-0.03855871585402017,0.05055819304304607,0.30772213316222796,-0.2533412315874455,0.5133164598660864,202,206,True
0,A_CN,A0_CN,u,1,-1,gamma_gw,quantile,0.05,fraction_prior_width,208,0.0031021820268008825,-0.0011332439068026338,0.0681572809081226,-0.07251250968738478,-0.01065571916304158,0.007220883518374584,0.09647989813745234,-0.30184202232852214,0.41094193491526304,202,208,True
0,A_CN,A0_CN,u,1,-1,gamma_gw,quantile,0.5,fraction_prior_width,208,-0.013398708125049088,-0.007488421844769638,0.09251517811569203,-0.16010069523857878,-0.056507991685207065,0.028694439885706483,0.11716063566905544,-0.4174210054629141,0.4377278253595438,202,208,True
0,A_CN,A0_CN,u,1,-1,gamma_gw,quantile,0.9,fraction_prior_width,208,-0.017994187617074633,-0.005926290369300757,0.07195300937165922,-0.1901269361349583,-0.03416659636739003,0.01225943753193448,0.06647218820518168,-0.2995264334413058,0.2845290578513363,202,208,True
0,A_CN,A0_CN,u,1,-1,gamma_gw,quantile,0.95,fraction_prior_width,208,-0.016628872039108844,-0.0032984981447716777,0.0654796702815912,-0.15293812263736625,-0.02078219546387075,0.0068166426019983795,0.04038925031049741,-0.2868114103189099,0.2989741970189511,202,208,True
